"Permit","Api","WellName","AreaName","FieldName","PoolNames","CurrentClass","CurrentStatus","SpudDate","OperatorName","AEO","AIO","CO","DIO","ERIO","O","SIO"
195199,50733204697000,"MGS ST 17595 31PB1","COOK INLET BASIN","MIDDLE GROUND SHOAL","Unknown","Unknown","Plugged & Abandoned","","Hilcorp Alaska, LLC","","","","","","",""
195199,50733204697100,"MGS ST 17595 31PB2","COOK INLET BASIN","MIDDLE GROUND SHOAL","Unknown","Unknown","Plugged & Abandoned","","Hilcorp Alaska, LLC","","","","","","",""
196013,50733204700000,"GRANITE POINT 54","COOK INLET BASIN","GRANITE PT","MIDDLE KENAI OIL","Development","Oil well, single completion","11/23/1996 12:00:00 AM","Hilcorp Alaska, LLC","","AIO 6 2, AIO 6 4, AIO 6 5, AIO 6 7, AIO 6 8, AIO 6 9, AIO 6 10, AIO 6 12, AIO 6 13, AIO 11, AIO 11 1, AIO 11 2","CO 37, CO 39, CO 50, CO 52, CO 55, CO 58, CO 70, CO 75, CO 76 4, CO 340, CO 355, CO 370, CO 371, CO 383, CO 397","","","",""
196013,50733204707000,"GRANITE POINT 54PB1","COOK INLET BASIN","GRANITE PT","Unknown","Unknown","Plugged & Abandoned","","Hilcorp Alaska, LLC","","","","","","",""
196014,50733204710000,"GRANITE POINT 53","COOK INLET BASIN","GRANITE PT","MIDDLE KENAI OIL","Service","Plugged & Abandoned","6/1/1997 12:00:00 AM","Hilcorp Alaska, LLC","","AIO 6 2, AIO 6 4, AIO 6 5, AIO 6 7, AIO 6 8, AIO 6 9, AIO 6 10, AIO 6 12, AIO 6 13, AIO 11, AIO 11 1, AIO 11 2","CO 37, CO 39, CO 50, CO 52, CO 55, CO 58, CO 70, CO 75, CO 76 4, CO 340, CO 355, CO 370, CO 371, CO 383, CO 397","","","",""
219079,50733204710100,"GRANITE POINT 53RD","COOK INLET BASIN","GRANITE PT","MIDDLE KENAI OIL","Development","Oil well, single completion","7/13/2019 12:00:00 AM","Hilcorp Alaska, LLC","","AIO 6 2, AIO 6 4, AIO 6 5, AIO 6 7, AIO 6 8, AIO 6 9, AIO 6 10, AIO 6 12, AIO 6 13, AIO 11, AIO 11 1, AIO 11 2","CO 37, CO 39, CO 50, CO 52, CO 55, CO 58, CO 70, CO 75, CO 76 4, CO 340, CO 355, CO 370, CO 371, CO 383, CO 397","","","",""
219079,50733204717000,"GRANITE POINT 53RDPB1","COOK INLET BASIN","GRANITE PT","Unknown","Unknown","Plugged & Abandoned","","Hilcorp Alaska, LLC","","","","","","",""
196045,50733204720000,"GRANITE POINT 52","COOK INLET BASIN","GRANITE PT","MIDDLE KENAI OIL","Development","Suspended well","8/8/1997 12:00:00 AM","Hilcorp Alaska, LLC","","AIO 6 2, AIO 6 4, AIO 6 5, AIO 6 7, AIO 6 8, AIO 6 9, AIO 6 10, AIO 6 12, AIO 6 13, AIO 11, AIO 11 1, AIO 11 2","CO 37, CO 39, CO 50, CO 52, CO 55, CO 58, CO 70, CO 75, CO 76 4, CO 340, CO 355, CO 370, CO 371, CO 383, CO 397","","","",""
196056,50733204730000,"MGS ST 17595 32","COOK INLET BASIN","MIDDLE GROUND SHOAL","MIDDLE GRND SHOAL GAS","Development","Shut In","4/18/1997 12:00:00 AM","Hilcorp Alaska, LLC","","","CO 378","","","",""
196056,50733204737000,"MGS ST 17595 32PB1","COOK INLET BASIN","MIDDLE GROUND SHOAL","Unknown","Unknown","Plugged & Abandoned","","Hilcorp Alaska, LLC","","","","","","",""
196056,50733204737100,"MGS ST 17595 32PB2","COOK INLET BASIN","MIDDLE GROUND SHOAL","Unknown","Unknown","Plugged & Abandoned","","Hilcorp Alaska, LLC","","","","","","",""
196127,50733204760000,"TRADING BAY UNIT M-09","COOK INLET BASIN","MCARTHUR RIVER","MIDDLE KENAI GAS","Development","Gas well, single completion","8/16/1996 12:00:00 AM","Hilcorp Alaska, LLC","","","CO 79, CO 92, CO 228 2, CO 228 3, CO 228 4, CO 228 5, CO 228 6, CO 228 7","","","",""
